model_name,lang,split,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
Qwen__Qwen3-4B-Instruct-2507__EN-backtrans-from-CA__EN-backtrans-from-CA,en,test,1779,0.5327213463000461,0.6839540852419826,0.6753836633470324,0.7128454899340887,0.908084816045477,0.9042523648713398,0.9060168980613996,0.9284499081552129,0.9186751237071049,0.9762048507123949,0.06087516410213446,0.5366800248936079
Qwen__Qwen3-4B-Instruct-2507__EN-backtrans-from-CA__EN-backtrans-from-CA,en_bt,test,1779,0.5766891646083346,0.703118006590674,0.7015933295825818,0.7349221288704973,0.9130692386841627,0.9114338278837456,0.9120994509104063,0.931789701007738,0.9189815158720698,0.9841456214018373,0.06008402148570884,0.5858740285744005
Qwen__Qwen3-4B-Instruct-2507__EN-backtrans-from-CA__EN-backtrans-from-CA,es,test,1779,0.22140846905085992,0.4000787799665512,0.3267006965059403,0.46165239531288843,0.8636067575990249,0.8596497500726786,0.861454292821911,0.8284957199501415,0.9006719053160146,0.9641652297691876,0.08627960458664373,0.25655519886233896
Qwen__Qwen3-4B-Instruct-2507__EN-gold__EN-gold,ca,test,1779,0.1598503891799192,0.34470006237150974,0.2693883077827655,0.4184436890386603,0.8416660331889041,0.829356557770751,0.8352215603672433,0.7732829577873235,0.8979610970276269,0.9696591503733996,0.08800032920077495,0.17766085066215653
Qwen__Qwen3-4B-Instruct-2507__EN-gold__EN-gold,en,test,1779,0.546643424280787,0.6939423425031187,0.6911910983740003,0.7222934859781086,0.9105904066810586,0.9069851058262529,0.9086468810442795,0.9308790220780075,0.919418658280118,0.9816911685196874,0.06082614227289785,0.5565663192888197
Qwen__Qwen3-4B-Instruct-2507__EN-gold__EN-gold,en_bt,test,1779,0.5313149512053071,0.6860230563618113,0.6859641754335507,0.7187910298499209,0.9080185774606959,0.9066139823469705,0.9071639307500808,0.9289322121549417,0.9188186096434784,0.9860063509341029,0.06231997244674313,0.5421842375518963
Qwen__Qwen3-4B-Instruct-2507__EN-gold__EN-gold,es,test,1779,0.16013836000605935,0.33631101519050927,0.25977949553606083,0.4146623230785104,0.8544848613219023,0.8512383732921692,0.8526850002679079,0.8019373216543256,0.8938095265053979,0.9704254459677574,0.0862268269415822,0.1796661102412683
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered_10__ES-silver-filtered,ca,test,1779,0.25651315748045495,0.4752564014867463,0.41239151814298186,0.5251883998486205,0.867749032812081,0.8583420652764242,0.8628075559397907,0.8403479968181415,0.9227838074980056,0.9757573404133018,0.08280678858507419,0.2635745382120423
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered_10__ES-silver-filtered,en,test,1779,0.30181923471843464,0.4710685139366436,0.4124110107561258,0.532619014548528,0.8767497333802153,0.8759052598322289,0.8761598014509899,0.8451496968113887,0.9109553083266483,0.9788728872676822,0.07253495147002274,0.3551578901822801
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered_10__ES-silver-filtered,en_bt,test,1779,0.3040421690064577,0.47393736016908455,0.4210663627987603,0.5362911160742003,0.8778793828885431,0.8794905125860286,0.8785094923688964,0.8467715853650359,0.910935338190796,0.9861855995148006,0.07291810109920122,0.3591996581863399
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered_10__ES-silver-filtered,es,test,1779,0.49816227757139364,0.6399406413200235,0.6264903196022451,0.675386359766628,0.897319206801474,0.8952063324747627,0.8961043208753747,0.92106885813541,0.9302177125647739,0.9844068608028427,0.06901871751881411,0.5153771330027355
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered__ES-silver-filtered,ca,test,1779,0.25651315748045495,0.4752564014867463,0.41239151814298186,0.5251883998486205,0.867749032812081,0.8583420652764242,0.8628075559397907,0.8403479968181415,0.9227838074980056,0.9757573404133018,0.08280678858507419,0.2635745382120423
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered__ES-silver-filtered,en,test,1779,0.30181923471843464,0.4710685139366436,0.4124110107561258,0.532619014548528,0.8767497333802153,0.8759052598322289,0.8761598014509899,0.8451496968113887,0.9109553083266483,0.9788728872676822,0.07253495147002274,0.3551578901822801
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered__ES-silver-filtered,en_bt,test,1779,0.3040421690064577,0.47393736016908455,0.4210663627987603,0.5362911160742003,0.8778793828885431,0.8794905125860286,0.8785094923688964,0.8467715853650359,0.910935338190796,0.9861855995148006,0.07291810109920122,0.3591996581863399
Qwen__Qwen3-4B-Instruct-2507__ES-silver-filtered__ES-silver-filtered,es,test,1779,0.49816227757139364,0.6399406413200235,0.6264903196022451,0.675386359766628,0.897319206801474,0.8952063324747627,0.8961043208753747,0.92106885813541,0.9302177125647739,0.9844068608028427,0.06901871751881411,0.5153771330027355
Qwen__Qwen3-4B-Instruct-2507__ES-silver__ES-silver,ca,test,1779,0.3581731982953967,0.5511892936786755,0.5069831641996948,0.5904252368013779,0.8697211310862155,0.8663944852291834,0.8678360014500546,0.8910444477021259,0.9311621294991899,0.9780720239891852,0.08575752398304923,0.36543688957619
Qwen__Qwen3-4B-Instruct-2507__ES-silver__ES-silver,en,test,1779,0.5220131314196467,0.6787461920789052,0.6560928498301369,0.7018072121967632,0.9061844785807172,0.9018243207832345,0.9038403826593482,0.9262056581889598,0.91729535401169,0.9686752754359516,0.06871922013990177,0.5261489228730771
Qwen__Qwen3-4B-Instruct-2507__ES-silver__ES-silver,en_bt,test,1779,0.5270061670684961,0.6852838216778946,0.6674157380464235,0.7079398494857571,0.9071626573080692,0.9052091486806478,0.9060267173151678,0.9281414829994468,0.9171736410925266,0.9727640243847392,0.06791913081888476,0.5351969086339496
Qwen__Qwen3-4B-Instruct-2507__ES-silver__ES-silver,es,test,1779,0.5051090382342224,0.6443672771748841,0.6335559776625834,0.6793705109549781,0.8983838266372145,0.8963499825077154,0.8972072772526755,0.9214573736402545,0.9302449785570807,0.9836427296462402,0.06842365377962568,0.5240167789089212
